index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
1;30-34;Man;United States of America;Master’s degree;Data Engineer;5-10 years;Python;A personal computer or laptop;2-5 times;1-2 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$100,000 or more ($USD);PostgresSQL ;Microsoft Power BI;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
2;30-34;Man;United States of America;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;3-4 years;250-999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$10,000-$99,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
3;30-34;Man;India;Bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;;;;;;;;;
4;35-39;Man;Germany;Doctoral degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;2-3 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$10,000-$99,999;Microsoft Azure Data Lake Storage ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5;30-34;Man;Canada;Bachelor’s degree;Data Engineer;< 1 years;Python;A personal computer or laptop;6-25 times;Under 1 year;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);90,000-99,999;$1000-$9,999;;Microsoft Power BI;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
6;30-34;Man;Russia;Bachelor’s degree;Data Scientist;< 1 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;Under 1 year;50-249 employees;1-2;No (we do not use ML methods);$0-999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
7;35-39;Man;South Africa;Some college/university study without earning a bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;0-49 employees;3-4;I do not know;10,000-14,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
8;25-29;Man;Russia;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;1-2 years;50-249 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
9;35-39;Woman;Pakistan;Master’s degree;Data Analyst;5-10 years;SQL;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Once;4-5 years;1000-9,999 employees;3-4;We use ML methods for generating insights (but do not put working models into production);15,000-19,999;$10,000-$99,999;PostgresSQL ;Microsoft Power BI;Advanced statistical software (SPSS, SAS, etc.)
10;30-34;Man;Other;Doctoral degree;Machine Learning Engineer;10-20 years;Python;A personal computer or laptop;6-25 times;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);10,000-14,999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
