diploma;position;programming_skill;matplotlib;seaborn;plotly;geoplotlib;no_dataviz;scikitlearn;tensorflow;keras;pytorch;fastai;no_machine_learning;linear_regression;decision_trees_or_random_forests;gradient_boosting;dense_neural_networks;convolutional_neural_networks;no_machine_learning_algorithm;main_activity_data_analyze;main_activity_build_run_data_infrastructure;main_activity_build_prototype_for_machine_learning;main_activity_improvement_of_machine_learning_model
Master’s degree;Data Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;;;;;;;;;;;;;;;;
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Engineer;Python;Matplotlib;Seaborn;;;;;TensorFlow;;PyTorch;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Some college/university study without earning a bachelor’s degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;SQL;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Machine Learning Engineer;Python;Matplotlib;;;;;;TensorFlow;Keras;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
